2017-03-25 20:40:52.213840: step 0, loss = 4.68 (57.7 examples/sec; 2.217 sec/batch)
2017-03-25 20:45:37.573682: step 1650, loss = 1.98 (743.2 examples/sec; 0.172 sec/batch)
2017-03-25 20:45:39.305515: step 1660, loss = 1.86 (739.1 examples/sec; 0.173 sec/batch)
2017-03-25 20:45:41.042901: step 1670, loss = 1.94 (736.7 examples/sec; 0.174 sec/batch)
2017-03-25 20:45:42.779970: step 1680, loss = 1.83 (736.9 examples/sec; 0.174 sec/batch)
2017-03-25 20:45:44.505990: step 1690, loss = 1.77 (741.6 examples/sec; 0.173 sec/batch)
2017-03-25 20:45:46.483471: step 1700, loss = 1.81 (647.5 examples/sec; 0.198 sec/batch)
2017-03-25 20:45:48.009746: step 1710, loss = 1.81 (838.3 examples/sec; 0.153 sec/batch)
2017-03-25 20:45:49.729787: step 1720, loss = 1.78 (744.2 examples/sec; 0.172 sec/batch)
2017-03-25 20:45:51.454451: step 1730, loss = 1.80 (742.2 examples/sec; 0.172 sec/batch)
2017-03-25 20:45:53.201681: step 1740, loss = 1.62 (732.7 examples/sec; 0.175 sec/batch)
2017-03-25 20:45:54.928588: step 1750, loss = 1.64 (741.1 examples/sec; 0.173 sec/batch)
2017-03-25 20:45:56.653517: step 1760, loss = 1.69 (742.1 examples/sec; 0.172 sec/batch)
2017-03-25 20:45:58.399024: step 1770, loss = 1.76 (733.3 examples/sec; 0.175 sec/batch)
2017-03-25 20:46:00.140462: step 1780, loss = 1.82 (735.0 examples/sec; 0.174 sec/batch)
2017-03-25 20:46:01.870799: step 1790, loss = 1.84 (739.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:03.783267: step 1800, loss = 1.73 (669.3 examples/sec; 0.191 sec/batch)
2017-03-25 20:46:05.373821: step 1810, loss = 2.35 (804.7 examples/sec; 0.159 sec/batch)
2017-03-25 20:46:07.103037: step 1820, loss = 1.69 (740.2 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:08.835923: step 1830, loss = 1.66 (738.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:10.559574: step 1840, loss = 1.75 (742.6 examples/sec; 0.172 sec/batch)
2017-03-25 20:46:12.300884: step 1850, loss = 1.63 (735.2 examples/sec; 0.174 sec/batch)
2017-03-25 20:46:14.034918: step 1860, loss = 1.73 (738.1 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:15.770220: step 1870, loss = 1.60 (737.6 examples/sec; 0.174 sec/batch)
2017-03-25 20:46:17.500040: step 1880, loss = 1.99 (740.0 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:19.235496: step 1890, loss = 1.64 (737.6 examples/sec; 0.174 sec/batch)
2017-03-25 20:46:21.129775: step 1900, loss = 1.69 (675.7 examples/sec; 0.189 sec/batch)
2017-03-25 20:46:22.740708: step 1910, loss = 1.77 (794.6 examples/sec; 0.161 sec/batch)
2017-03-25 20:46:24.466818: step 1920, loss = 1.60 (741.6 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:26.207333: step 1930, loss = 1.65 (735.4 examples/sec; 0.174 sec/batch)
2017-03-25 20:46:27.936804: step 1940, loss = 1.51 (740.2 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:29.661244: step 1950, loss = 1.44 (742.2 examples/sec; 0.172 sec/batch)
2017-03-25 20:46:31.385826: step 1960, loss = 1.70 (742.2 examples/sec; 0.172 sec/batch)
2017-03-25 20:46:33.107528: step 1970, loss = 1.74 (743.5 examples/sec; 0.172 sec/batch)
2017-03-25 20:46:34.835811: step 1980, loss = 1.91 (740.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:36.582901: step 1990, loss = 1.71 (732.4 examples/sec; 0.175 sec/batch)
2017-03-25 20:46:38.543981: step 2000, loss = 1.81 (653.1 examples/sec; 0.196 sec/batch)
2017-03-25 20:46:40.091216: step 2010, loss = 1.67 (826.7 examples/sec; 0.155 sec/batch)
2017-03-25 20:46:41.841511: step 2020, loss = 1.54 (731.4 examples/sec; 0.175 sec/batch)
2017-03-25 20:46:43.579209: step 2030, loss = 1.91 (736.5 examples/sec; 0.174 sec/batch)
2017-03-25 20:46:45.313872: step 2040, loss = 1.76 (737.9 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:47.062464: step 2050, loss = 1.77 (732.0 examples/sec; 0.175 sec/batch)
2017-03-25 20:46:48.809144: step 2060, loss = 1.54 (732.8 examples/sec; 0.175 sec/batch)
2017-03-25 20:46:50.532630: step 2070, loss = 2.08 (742.7 examples/sec; 0.172 sec/batch)
2017-03-25 20:46:52.262360: step 2080, loss = 1.62 (740.0 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:53.992718: step 2090, loss = 1.61 (739.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:46:55.894851: step 2100, loss = 1.68 (672.9 examples/sec; 0.190 sec/batch)
2017-03-25 20:46:57.508404: step 2110, loss = 1.57 (793.3 examples/sec; 0.161 sec/batch)
2017-03-25 20:46:59.249181: step 2120, loss = 1.44 (735.3 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:00.980622: step 2130, loss = 1.59 (739.3 examples/sec; 0.173 sec/batch)
2017-03-25 20:47:02.703828: step 2140, loss = 1.46 (742.8 examples/sec; 0.172 sec/batch)
2017-03-25 20:47:04.442515: step 2150, loss = 1.70 (736.2 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:06.180443: step 2160, loss = 1.58 (736.5 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:07.908575: step 2170, loss = 1.37 (740.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:47:09.644160: step 2180, loss = 1.64 (737.4 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:11.369153: step 2190, loss = 1.55 (742.0 examples/sec; 0.172 sec/batch)
2017-03-25 20:47:13.338780: step 2200, loss = 1.63 (650.0 examples/sec; 0.197 sec/batch)
2017-03-25 20:47:14.858628: step 2210, loss = 1.46 (841.9 examples/sec; 0.152 sec/batch)
2017-03-25 20:47:16.580305: step 2220, loss = 1.54 (743.5 examples/sec; 0.172 sec/batch)
2017-03-25 20:47:18.315531: step 2230, loss = 1.58 (737.7 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:20.062839: step 2240, loss = 1.59 (732.6 examples/sec; 0.175 sec/batch)
2017-03-25 20:47:21.785547: step 2250, loss = 1.50 (742.9 examples/sec; 0.172 sec/batch)
2017-03-25 20:47:23.509471: step 2260, loss = 1.60 (742.5 examples/sec; 0.172 sec/batch)
2017-03-25 20:47:25.255436: step 2270, loss = 1.34 (733.1 examples/sec; 0.175 sec/batch)
2017-03-25 20:47:26.991005: step 2280, loss = 1.54 (737.5 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:28.730741: step 2290, loss = 1.53 (735.7 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:30.650573: step 2300, loss = 1.44 (667.2 examples/sec; 0.192 sec/batch)
2017-03-25 20:47:32.270637: step 2310, loss = 1.53 (789.4 examples/sec; 0.162 sec/batch)
2017-03-25 20:47:34.001492: step 2320, loss = 1.57 (739.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:47:35.747660: step 2330, loss = 1.52 (733.0 examples/sec; 0.175 sec/batch)
2017-03-25 20:47:37.476291: step 2340, loss = 1.42 (740.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:47:39.205554: step 2350, loss = 1.47 (740.2 examples/sec; 0.173 sec/batch)
2017-03-25 20:47:40.943487: step 2360, loss = 1.36 (736.7 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:42.675513: step 2370, loss = 1.29 (738.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:47:44.407042: step 2380, loss = 1.59 (739.2 examples/sec; 0.173 sec/batch)
2017-03-25 20:47:46.147371: step 2390, loss = 1.42 (735.5 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:48.087617: step 2400, loss = 1.43 (659.8 examples/sec; 0.194 sec/batch)
2017-03-25 20:47:49.662889: step 2410, loss = 1.32 (812.4 examples/sec; 0.158 sec/batch)
2017-03-25 20:47:51.404569: step 2420, loss = 1.50 (734.9 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:53.146782: step 2430, loss = 1.28 (734.7 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:54.869914: step 2440, loss = 1.57 (742.8 examples/sec; 0.172 sec/batch)
2017-03-25 20:47:56.605272: step 2450, loss = 1.38 (737.6 examples/sec; 0.174 sec/batch)
2017-03-25 20:47:58.335040: step 2460, loss = 1.46 (740.0 examples/sec; 0.173 sec/batch)
2017-03-25 20:48:00.068368: step 2470, loss = 1.58 (738.9 examples/sec; 0.173 sec/batch)
2017-03-25 20:48:01.806764: step 2480, loss = 1.53 (735.9 examples/sec; 0.174 sec/batch)
2017-03-25 20:48:03.558225: step 2490, loss = 1.59 (730.8 examples/sec; 0.175 sec/batch)
2017-03-25 20:48:05.460059: step 2500, loss = 1.32 (673.3 examples/sec; 0.190 sec/batch)
2017-03-25 20:48:07.069978: step 2510, loss = 1.37 (794.8 examples/sec; 0.161 sec/batch)
2017-03-25 20:48:08.801354: step 2520, loss = 1.39 (739.3 examples/sec; 0.173 sec/batch)
2017-03-25 20:48:10.549131: step 2530, loss = 1.68 (732.4 examples/sec; 0.175 sec/batch)
2017-03-25 20:48:12.274556: step 2540, loss = 1.40 (741.8 examples/sec; 0.173 sec/batch)
2017-03-25 20:48:14.003257: step 2550, loss = 1.28 (740.4 examples/sec; 0.173 sec/batch)
2017-03-25 20:48:15.738417: step 2560, loss = 1.19 (737.7 examples/sec; 0.174 sec/batch)
2017-03-25 20:48:17.468824: step 2570, loss = 1.29 (739.7 examples/sec; 0.173 sec/batch)
2017-03-25 20:48:19.185370: step 2580, loss = 1.39 (745.8 examples/sec; 0.172 sec/batch)
2017-03-25 20:48:20.915936: step 2590, loss = 1.29 (739.6 examples/sec; 0.173 sec/batch)
2017-03-25 20:48:22.820703: step 2600, loss = 1.43 (671.9 examples/sec; 0.190 sec/batch)
2017-03-25 20:48:24.434261: step 2610, loss = 1.31 (793.2 examples/sec; 0.161 sec/batch)
2017-03-25 20:48:26.182915: step 2620, loss = 1.30 (732.1 examples/sec; 0.175 sec/batch)
2017-03-25 20:48:27.925924: step 2630, loss = 1.49 (734.2 examples/sec; 0.174 sec/batch)
2017-03-25 20:48:29.661568: step 2640, loss = 1.35 (737.5 examples/sec; 0.174 sec/batch)
2017-03-25 20:48:31.390436: step 2650, loss = 1.38 (740.5 examples/sec; 0.173 sec/batch)
2017-03-25 20:48:33.125815: step 2660, loss = 1.44 (737.5 examples/sec; 0.174 sec/batch)
2017-03-25 20:48:34.857947: step 2670, loss = 1.37 (739.0 examples/sec; 0.173 sec/batch)
2017-03-25 20:48:36.598866: step 2680, loss = 1.38 (735.2 examples/sec; 0.174 sec/batch)
2017-03-25 20:48:38.338753: step 2690, loss = 1.43 (735.7 examples/sec; 0.174 sec/batch)
